Country,Energy balance,Standard international energy product classification (SIEC),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Germany,Available for final consumption,Total,2803799.273,2744605.734,2696914.236,2696074.518,2667522.786,2728531.758,2837468.554,2811360.167,2807304.592,2731555.274,2730622.251,2813045.701,2743614.72,2727900.122,2754545.73,2743994.511,2833280.475,2641652.654,2716930.295,2565101.135,2711321.283,2582824.691,2587123.157,2679013.243,2546585.753,2568237.824,2599131.514,2659463.491,2605829.461,2622110.674,2494535.308,2548887.369,2450981.17,
Germany,Gross available energy,Total,4166414.205,4075147.47,3997553.822,3966642.764,3950071.069,3992344.255,4124442.124,4094246.806,4069303.874,3983431.297,4008078.213,4123108.796,4033975.549,4046185.299,4075797.439,4058468.566,4182422.764,3983606.682,4032299.385,3770990.994,3966105.309,3762111.281,3793093.339,3873576.023,3708356.542,3727594.069,3754695.964,3771383.703,3681588.142,3599635.44,3328611.334,3462842.599,3300473.183,
Germany,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Total energy supply,Total,4084284.511,4000335.443,3923141.489,3884014.542,3863901.291,3905953.338,4036788.763,4002477.918,3976365.902,3885801.019,3905498.824,4023509.38,3932632.187,3942541.655,3964778.929,3942932.391,4061282.8,3853153.777,3901565.812,3645680.109,3841430.292,3641444.951,3668575.324,3749984.395,3588473.06,3606259.048,3621710.372,3633968.642,3547577.205,3470406.222,3260248.302,3376502.423,3179301.789,
Greece,Available for final consumption,Total,166662.219,172399.634,175876.714,172922.326,181115.818,181873.522,191953.515,197562.244,208474.235,206998.445,214696.5,222894.151,227650.619,236198.795,238698.98,242187.283,244101.997,235434.109,243954.549,236992.43,222879.397,212484.545,207013.503,175500.818,182521.395,192431.868,196213.766,193943.502,183722.031,190776.78,169166.575,174335.289,181500.815,
Greece,Gross available energy,Total,287769.881,286447.392,297038.765,299773.556,310436.301,314841.092,317645.868,328568.638,348143.048,346311.947,366349.64,375306.314,376594.112,386659.336,393063.127,394587.332,398738.741,399878.691,401338.074,383066.286,361187.335,352267.936,343210.351,304582.992,300741.774,300884.557,295101.301,308529.528,302648.506,303222.562,256736.422,271227.101,276608.403,
Greece,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Total energy supply,Total,248671.02,250982.225,257142.682,254165.0,260943.662,263097.536,271349.785,282504.832,297537.798,298930.947,314730.724,325617.786,331014.085,339980.864,345728.627,351943.693,351598.13,350972.247,353609.102,342933.286,321738.335,311658.603,309403.296,272084.492,270010.829,270568.168,264882.579,272234.72,264566.401,260785.604,233682.936,242067.601,240432.93,
Hungary,Available for final consumption,Total,238900.251,225863.212,196270.198,205487.528,200024.05,204414.985,212662.953,206961.713,204176.367,200248.025,200293.431,207057.567,210736.554,218776.097,217235.195,236456.237,233405.85,222212.146,219782.763,214289.668,219352.067,216321.035,206837.23,204134.987,200934.64,215586.194,219798.587,230165.965,230953.225,231920.848,228910.919,246268.7,229376.746,
Hungary,Gross available energy,Total,339009.107,323442.445,293013.431,300654.677,291933.641,302888.457,311171.359,305228.219,301201.971,299147.242,293431.334,300278.251,300123.656,306425.653,307448.698,331574.54,327975.729,320950.598,315993.5,300523.313,309269.833,303108.309,288087.031,278188.696,277064.216,293113.728,296793.56,310014.508,310574.091,310584.805,304002.6,318377.099,299813.369,
Hungary,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Total energy supply,Total,337049.107,321898.945,291384.181,299160.177,289679.641,300720.207,308868.359,303035.469,298874.305,296648.076,290638.112,297656.64,297649.045,304000.042,304824.531,328544.04,324895.729,318127.264,312855.167,297839.98,306598.166,300401.753,286150.364,276298.696,275078.716,291081.783,294557.427,307415.188,307361.043,307335.655,302823.279,316945.066,296804.897,
Ireland,Available for final consumption,Total,88276.055,88844.463,87100.323,87482.183,91967.819,89032.001,97758.528,105290.025,110974.837,113973.755,120563.614,124326.045,128117.656,122194.748,127670.421,129711.817,133535.697,136866.411,137620.903,135634.402,131254.941,122172.349,123400.731,116865.548,117701.97,125250.269,131480.522,130140.094,132287.157,134461.834,129377.453,132003.817,130399.074,
Ireland,Gross available energy,Total,119669.817,121500.065,120604.865,123723.972,128580.728,127247.797,137898.659,147777.823,156143.691,162194.001,168932.53,178070.834,180765.916,173326.275,177264.551,181141.328,182384.963,188719.551,186418.24,177861.221,176847.655,162693.754,164618.474,156443.127,157460.365,166628.259,175786.58,174372.907,175370.105,175905.868,162004.304,167998.331,171898.114,
Ireland,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Total energy supply,Total,115305.707,117110.207,116793.512,117989.863,123590.569,121397.815,131939.802,141077.245,149200.229,154163.368,160191.546,167812.474,170206.774,162632.981,167280.753,170431.848,171199.664,175845.097,174753.474,170115.581,166622.272,153372.07,156374.504,147285.831,147276.879,155019.055,163856.968,160743.159,160592.185,161337.777,155618.832,160882.373,158760.479,
Italy,Available for final consumption,Total,1338551.435,1364332.109,1353994.321,1360345.925,1343479.451,1405056.773,1419885.0,1432712.744,1467377.326,1493659.417,1497537.71,1529581.301,1525789.567,1594128.874,1572099.417,1623449.557,1591410.939,1588111.753,1591956.276,1521456.922,1531993.162,1460865.777,1417348.911,1403735.5,1325330.255,1368023.911,1357851.557,1409251.327,1393602.948,1380047.027,1270900.368,1399696.615,1302765.785,
Italy,Gross available energy,Total,1753713.421,1796774.332,1784854.681,1776198.781,1754258.146,1902812.353,1897810.183,1926399.519,1983722.229,2007037.469,2049035.477,2054314.759,2070479.26,2172523.797,2188282.968,2229314.348,2213024.951,2209832.303,2181197.45,2034360.94,2091297.19,2019995.65,1941141.491,1867433.47,1764952.954,1833231.634,1819982.563,1881911.58,1857437.632,1838545.276,1675125.761,1821045.948,1750674.256,
Italy,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Total energy supply,Total,1705157.754,1747187.443,1736320.736,1727240.448,1705545.591,1851871.631,1850903.905,1877520.797,1930067.729,1959779.247,1997014.755,2003891.092,2018243.982,2114541.742,2129387.69,2168391.959,2148580.506,2142195.247,2113591.95,1972156.662,2019864.913,1953167.983,1876388.38,1807187.47,1706933.676,1774310.745,1755918.175,1815367.24,1781189.921,1761528.104,1629368.643,1772778.34,1688913.098,
Latvia,Available for final consumption,Total,74673.828,71752.053,60004.872,52058.144,47981.032,45697.16,44337.709,43573.861,42319.591,38429.353,37861.747,41397.719,41441.874,44307.887,45577.38,47094.01,49393.558,51031.407,48559.254,46649.927,47162.149,44510.021,46446.816,44640.305,45106.425,44029.513,44008.465,45933.707,47764.149,46145.91,45061.621,47297.117,45095.371,
